analyte,feature_space,model,outer_fold,patch_id,actual_concentration,prediction,feature_group,feature_value,shap_value,normalized_shap_percent
glucose,RGB_primary,ExtraTrees,1,glucose_09_c10_wD03,10.0,12.466666666666667,R,106.0,0.6335702716785165,3.167851358392583
glucose,RGB_primary,ExtraTrees,1,glucose_09_c10_wE02,10.0,10.7,R,105.0,0.36949317463093373,1.8474658731546687
glucose,RGB_primary,ExtraTrees,1,glucose_09_c10_wE03,10.0,9.533333333333333,R,95.0,0.23739749773837432,1.1869874886918717
glucose,RGB_primary,ExtraTrees,1,glucose_09_c10_wE08,10.0,11.6,R,109.0,0.6482653695163204,3.2413268475816017
glucose,RGB_primary,ExtraTrees,1,glucose_09_c10_wE10,10.0,11.6,R,113.0,0.6768230216202583,3.384115108101292
glucose,RGB_primary,ExtraTrees,1,glucose_09_c10_wE11,10.0,10.733333333333333,R,124.0,0.5389953810813064,2.694976905406532
glucose,RGB_primary,ExtraTrees,1,glucose_09_c10_wF01,10.0,11.933333333333334,R,116.0,1.6038370457007252,8.019185228503627
glucose,RGB_primary,ExtraTrees,1,glucose_09_c10_wF12,10.0,10.0,R,124.0,0.6091777208184557,3.0458886040922786
glucose,RGB_primary,ExtraTrees,1,glucose_09_c10_wG06,10.0,15.0,R,117.0,2.3286958965944637,11.64347948297232
glucose,RGB_primary,ExtraTrees,1,glucose_09_c10_wG09,10.0,11.7,R,121.0,0.5408481497773493,2.7042407488867464
glucose,RGB_primary,ExtraTrees,1,glucose_09_c10_wG11,10.0,11.52222222222222,R,126.0,0.3930846513491479,1.9654232567457395
glucose,RGB_primary,ExtraTrees,1,glucose_09_c10_wG12,10.0,10.4,R,124.0,0.8739383098815754,4.369691549407877
glucose,RGB_primary,ExtraTrees,1,glucose_09_c10_wH05,10.0,10.0,R,119.0,0.3765133234879027,1.8825666174395135
glucose,RGB_primary,ExtraTrees,1,glucose_10_c15_wA06,15.0,15.0,R,120.0,1.2003867397070067,6.001933698535034
glucose,RGB_primary,ExtraTrees,1,glucose_10_c15_wA11,15.0,16.37777777777778,R,126.0,1.8348473269959011,9.174236634979506
glucose,RGB_primary,ExtraTrees,1,glucose_10_c15_wA12,15.0,18.5,R,119.0,2.6436327295814057,13.218163647907028
glucose,RGB_primary,ExtraTrees,1,glucose_10_c15_wC01,15.0,15.0,R,137.0,1.306096633970605,6.530483169853025
glucose,RGB_primary,ExtraTrees,1,glucose_10_c15_wC03,15.0,15.0,R,118.0,1.3548058790159256,6.774029395079628
glucose,RGB_primary,ExtraTrees,1,glucose_10_c15_wC09,15.0,17.2,R,116.0,2.275656468229016,11.37828234114508
glucose,RGB_primary,ExtraTrees,1,glucose_10_c15_wD02,15.0,15.033333333333333,R,116.0,1.8987580177286596,9.493790088643298
glucose,RGB_primary,ExtraTrees,1,glucose_10_c15_wD03,15.0,15.0,R,109.0,1.237810375718282,6.1890518785914095
glucose,RGB_primary,ExtraTrees,1,glucose_10_c15_wE02,15.0,13.5,R,116.0,1.0645712640153902,5.3228563200769505
glucose,RGB_primary,ExtraTrees,1,glucose_10_c15_wE03,15.0,15.0,R,108.0,1.0538563693834533,5.269281846917266
glucose,RGB_primary,ExtraTrees,1,glucose_10_c15_wE08,15.0,13.566666666666666,R,103.0,0.8885418919939028,4.442709459969514
glucose,RGB_primary,ExtraTrees,1,glucose_10_c15_wE10,15.0,13.7,R,109.0,0.9617106253917207,4.8085531269586035
