analyte,feature_set,model,outer_fold,target_transform,inner_best_mae,best_parameters
ketone,HSV_primary,Ridge,4,log1p,0.426633570816721,"{""alpha"": 0.1, ""target_transform"": ""log1p""}"
ketone,HSV_primary,ElasticNet,4,log1p,0.4258941475739667,"{""alpha"": 0.01, ""l1_ratio"": 0.8, ""target_transform"": ""log1p""}"
ketone,HSV_primary,SVR,4,raw,0.11568957568157257,"{""C"": 100.0, ""epsilon"": 0.01, ""target_transform"": ""raw""}"
ketone,HSV_primary,RandomForest,4,raw,0.02829377083333335,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""raw""}"
ketone,HSV_primary,ExtraTrees,4,log1p,0.03545766762839804,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""log1p""}"
ketone,RGB_HSV_combined,Ridge,4,log1p,0.35682657569041015,"{""alpha"": 10.0, ""target_transform"": ""log1p""}"
ketone,RGB_HSV_combined,ElasticNet,4,log1p,0.3583605608980546,"{""alpha"": 0.01, ""l1_ratio"": 0.2, ""target_transform"": ""log1p""}"
ketone,RGB_HSV_combined,SVR,4,raw,0.12992698565583977,"{""C"": 100.0, ""epsilon"": 0.01, ""target_transform"": ""raw""}"
ketone,RGB_HSV_combined,RandomForest,4,raw,0.028964687500000013,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""raw""}"
ketone,RGB_HSV_combined,ExtraTrees,4,log1p,0.03748107265750754,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""log1p""}"
ketone,Chromaticity_secondary,ExtraTrees,4,log1p,0.06623157141169536,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""log1p""}"
ketone,Background_adjusted_secondary,ExtraTrees,4,log1p,0.14048566234055965,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""log1p""}"
ketone,Background_negative_control,ExtraTrees,4,raw,0.9456424462962962,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""raw""}"
ketone,RGB_primary,Ridge,5,log1p,0.7230143443578703,"{""alpha"": 0.1, ""target_transform"": ""log1p""}"
ketone,RGB_primary,ElasticNet,5,log1p,0.7249164821618093,"{""alpha"": 0.001, ""l1_ratio"": 0.2, ""target_transform"": ""log1p""}"
ketone,RGB_primary,SVR,5,raw,0.1577347919611841,"{""C"": 100.0, ""epsilon"": 0.01, ""target_transform"": ""raw""}"
ketone,RGB_primary,RandomForest,5,raw,0.1528630349702381,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""raw""}"
ketone,RGB_primary,ExtraTrees,5,log1p,0.09440599276694711,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""log1p""}"
ketone,HSV_primary,Ridge,5,log1p,0.46151812776244616,"{""alpha"": 0.1, ""target_transform"": ""log1p""}"
ketone,HSV_primary,ElasticNet,5,log1p,0.45819123568145903,"{""alpha"": 0.01, ""l1_ratio"": 0.8, ""target_transform"": ""log1p""}"
ketone,HSV_primary,SVR,5,log1p,0.1180306148363772,"{""C"": 100.0, ""epsilon"": 0.01, ""target_transform"": ""log1p""}"
ketone,HSV_primary,RandomForest,5,raw,0.024518381944444462,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""raw""}"
ketone,HSV_primary,ExtraTrees,5,log1p,0.036422829702835904,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""log1p""}"
ketone,RGB_HSV_combined,Ridge,5,log1p,0.364317925243275,"{""alpha"": 10.0, ""target_transform"": ""log1p""}"
ketone,RGB_HSV_combined,ElasticNet,5,log1p,0.36857472721210227,"{""alpha"": 0.01, ""l1_ratio"": 0.2, ""target_transform"": ""log1p""}"
ketone,RGB_HSV_combined,SVR,5,raw,0.12764466622508053,"{""C"": 100.0, ""epsilon"": 0.01, ""target_transform"": ""raw""}"
ketone,RGB_HSV_combined,RandomForest,5,raw,0.025393277777777796,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""raw""}"
ketone,RGB_HSV_combined,ExtraTrees,5,log1p,0.04191822854759236,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""log1p""}"
ketone,Chromaticity_secondary,ExtraTrees,5,log1p,0.07406896631199744,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""log1p""}"
ketone,Background_adjusted_secondary,ExtraTrees,5,raw,0.14955922222222223,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""raw""}"
ketone,Background_negative_control,ExtraTrees,5,raw,0.9699034950231482,"{""max_depth"": null, ""min_samples_leaf"": 1, ""target_transform"": ""raw""}"
