analyte,outer_fold,architecture,representation,target_transform,selected_target,epoch,training_loss,validation_mae,learning_rate
glucose,1,lite,rgb,raw,1,65,0.036648103346427284,0.6267674545733789,0.00025
glucose,1,lite,rgb,raw,1,66,0.031992937285791744,0.6374153442157874,0.00025
glucose,1,lite,rgb,raw,1,67,0.03467926979064941,0.6297932064118023,0.000125
glucose,1,lite,rgb,raw,1,68,0.047878561078599,0.6197156753660004,0.000125
glucose,1,lite,rgb,raw,1,69,0.04373780502514406,0.6309108334783672,0.000125
glucose,1,lite,rgb,raw,1,70,0.03099060934601408,0.6229857132551495,0.000125
glucose,1,lite,rgb,raw,1,71,0.042396206273273986,0.6350715534333871,0.000125
glucose,1,lite,rgb,raw,1,72,0.0441082829948176,0.626717093100937,0.000125
glucose,1,lite,rgb,raw,1,73,0.04126378433270888,0.5979894966016182,0.000125
glucose,1,lite,rgb,raw,1,74,0.0386103230669643,0.6004936655742228,6.25e-05
glucose,2,tiny,rgb,raw,1,1,0.6259555177965747,5.708646024062355,0.001
glucose,2,tiny,rgb,raw,1,2,0.1759260120716962,5.4026962229183475,0.001
glucose,2,tiny,rgb,raw,1,3,0.12844705693812378,5.067104831826007,0.001
glucose,2,tiny,rgb,raw,1,4,0.11340262899633313,3.9476346871770356,0.001
glucose,2,tiny,rgb,raw,1,5,0.11532228201316828,3.517664268207612,0.001
glucose,2,tiny,rgb,raw,1,6,0.11318960618199961,2.8459968483584563,0.001
glucose,2,tiny,rgb,raw,1,7,0.10062988066904235,2.244757437422683,0.001
glucose,2,tiny,rgb,raw,1,8,0.10992435353701233,2.140414109825377,0.001
glucose,2,tiny,rgb,raw,1,9,0.10258068286448761,1.3418393836059694,0.001
glucose,2,tiny,rgb,raw,1,10,0.08654545761655943,1.6341565830541724,0.001
glucose,2,tiny,rgb,raw,1,11,0.07157139904275203,0.8723737778675654,0.001
glucose,2,tiny,rgb,raw,1,12,0.05801150817340781,1.205610543882852,0.001
glucose,2,tiny,rgb,raw,1,13,0.05280090034863011,0.8272331689155595,0.001
glucose,2,tiny,rgb,raw,1,14,0.053028155934348724,0.7852264748194059,0.001
glucose,2,tiny,rgb,raw,1,15,0.05613166026093743,0.7153195143311274,0.001
glucose,2,tiny,rgb,raw,1,16,0.04670373052802775,0.6478232873091293,0.001
glucose,2,tiny,rgb,raw,1,17,0.0538363811711263,0.7263704642262145,0.001
glucose,2,tiny,rgb,raw,1,18,0.04799124522997974,0.9687307929052202,0.001
glucose,2,tiny,rgb,raw,1,19,0.049871894002138414,0.8037445288550619,0.001
glucose,2,tiny,rgb,raw,1,20,0.05017216102776691,0.6126912039100013,0.001
glucose,2,tiny,rgb,raw,1,21,0.04226717813115362,0.7544875135196019,0.001
glucose,2,tiny,rgb,raw,1,22,0.04546772094024276,0.6280642798983217,0.001
glucose,2,tiny,rgb,raw,1,23,0.04448439147539892,0.6936363540666087,0.001
glucose,2,tiny,rgb,raw,1,24,0.04084728911363599,0.6130834174324872,0.001
glucose,2,tiny,rgb,raw,1,25,0.047552677990116414,0.5417864323763971,0.001
glucose,2,tiny,rgb,raw,1,26,0.03772518403089748,0.5662925397212452,0.001
glucose,2,tiny,rgb,raw,1,27,0.03454150422163941,0.729730998494395,0.001
glucose,2,tiny,rgb,raw,1,28,0.03977624955968779,0.9237843963477679,0.001
glucose,2,tiny,rgb,raw,1,29,0.039069361972238106,0.581465371439992,0.001
glucose,2,tiny,rgb,raw,1,30,0.03682959718205001,0.8833173617484207,0.001
glucose,2,tiny,rgb,raw,1,31,0.03614756038021046,0.8413502859026348,0.001
glucose,2,tiny,rgb,raw,1,32,0.03970509368909631,0.7700275906473366,0.001
glucose,2,tiny,rgb,raw,1,33,0.03605360234636486,0.529302103626126,0.0005
glucose,2,tiny,rgb,raw,1,34,0.04034824312932445,0.6429396188839854,0.0005
glucose,2,tiny,rgb,raw,1,35,0.030848421131423085,0.7000286523383359,0.0005
glucose,2,tiny,rgb,raw,1,36,0.03424812603503155,0.6107292568607671,0.0005
glucose,2,tiny,rgb,raw,1,37,0.05095402947481272,0.7927721324743537,0.0005
glucose,2,tiny,rgb,raw,1,38,0.04910414201802895,0.5405206947849398,0.0005
glucose,2,tiny,rgb,raw,1,39,0.032694245670573725,0.8601949657427655,0.0005
glucose,2,tiny,rgb,raw,1,40,0.03733476166698066,0.5176427066244813,0.0005
glucose,2,tiny,rgb,raw,1,41,0.03913775542209649,0.5707733315073432,0.0005
glucose,2,tiny,rgb,raw,1,42,0.036065087210936625,0.5219512257103037,0.0005
glucose,2,tiny,rgb,raw,1,43,0.03480523317946807,0.5282026118588427,0.0005
glucose,2,tiny,rgb,raw,1,44,0.037213500927795067,0.7495848148465708,0.0005
glucose,2,tiny,rgb,raw,1,45,0.03804315336814758,0.5078610180266095,0.0005
